,POLICY_ID,POLICY_IS_RENEWED,POLICY_IS_RENEWED_PROBABILITY
0,9,1,0.8429625034332275
1,11,1,0.7162410616874695
2,12,1,0.7125462293624878
3,21,0,0.36111757159233093
4,36,1,0.8180595636367798
5,37,1,0.5124920606613159
6,40,0,0.22446002066135406
7,43,1,0.6921470165252686
8,44,0,0.35473933815956116
9,53,1,0.7721585035324097
10,61,0,0.4791214168071747
11,69,1,0.655670702457428
12,70,1,0.5083921551704407
13,72,1,0.528364896774292
14,79,1,0.6101508140563965
15,84,1,0.86199951171875
16,86,1,0.7517749071121216
17,93,1,0.5276573300361633
18,102,0,0.3158304989337921
19,107,1,0.6797056794166565
20,114,0,0.43416014313697815
21,115,1,0.5189746618270874
22,117,1,0.716349720954895
23,124,1,0.696820855140686
24,131,1,0.8796550035476685
25,132,0,0.4878108501434326
26,133,1,0.8189502954483032
27,137,1,0.8319562077522278
28,138,1,0.7108560800552368
29,146,0,0.35979214310646057
30,149,0,0.4796515107154846
31,150,1,0.5745505690574646
32,152,1,0.6620756387710571
33,154,1,0.5463389754295349
34,158,1,0.7997152209281921
35,159,0,0.289259672164917
36,160,0,0.4956921339035034
37,162,1,0.7425596714019775
38,163,1,0.6638028621673584
39,165,1,0.7981061339378357
40,167,1,0.8486299514770508
41,168,1,0.7532373070716858
42,171,1,0.6626235842704773
43,181,1,0.6818792223930359
44,187,1,0.7835034728050232
45,188,1,0.5411462783813477
46,189,0,0.3273750841617584
47,192,1,0.5872550010681152
48,193,1,0.7190325260162354
49,195,0,0.3308601677417755
50,214,0,0.030690131708979607
51,217,1,0.7088279128074646
52,227,1,0.7048324346542358
53,229,1,0.6027014851570129
54,235,1,0.7047865390777588
55,243,0,0.4371141493320465
56,252,1,0.7930435538291931
57,262,1,0.8455479145050049
58,264,1,0.7154713273048401
59,267,1,0.7367258667945862
60,272,0,0.4762239158153534
61,283,0,0.3402250111103058
62,285,0,0.412051796913147
63,304,1,0.8287604451179504
64,306,0,0.40035417675971985
65,308,1,0.7514575719833374
66,309,1,0.531011700630188
67,312,1,0.6293855309486389
68,317,1,0.7665156126022339
69,322,1,0.6112470030784607
70,326,1,0.7961527705192566
71,328,1,0.7799025177955627
72,340,1,0.751964807510376
73,343,1,0.6412540078163147
74,344,1,0.8439666032791138
75,353,0,0.26658037304878235
76,354,0,0.3607195019721985
77,356,1,0.8498407602310181
78,359,1,0.7484327554702759
79,364,1,0.7221664786338806
80,366,1,0.8232399225234985
81,368,1,0.5207488536834717
82,369,1,0.8747272491455078
83,382,1,0.8184532523155212
84,383,0,0.3530409038066864
85,387,1,0.7100698947906494
86,388,1,0.7097867727279663
87,393,1,0.5749605894088745
88,394,1,0.7482430338859558
89,415,1,0.871529221534729
90,416,1,0.8521076440811157
91,441,1,0.5752788186073303
92,442,1,0.8139519691467285
93,443,1,0.5171212553977966
94,444,1,0.7825431823730469
95,447,1,0.7193838357925415
96,452,1,0.7738121151924133
97,453,1,0.6377391815185547
98,454,1,0.6561406850814819
99,457,1,0.5086891651153564
100,458,1,0.7953609228134155
101,459,1,0.7120218873023987
102,464,1,0.6829786896705627
103,465,1,0.7394741177558899
104,467,1,0.5379045605659485
105,493,1,0.7528932094573975
106,497,1,0.6301220655441284
107,498,1,0.8131223917007446
108,499,0,0.45876961946487427
109,505,1,0.5338482856750488
110,506,1,0.6566166281700134
111,509,1,0.7694349884986877
112,514,1,0.502417802810669
113,515,0,0.2615129351615906
114,519,1,0.5373674631118774
115,521,1,0.7037169337272644
116,526,0,0.04806286841630936
117,527,1,0.6390113234519958
118,533,1,0.7501133680343628
119,537,1,0.6718247532844543
120,548,0,0.38009917736053467
121,552,0,0.4158620238304138
122,554,1,0.7505239248275757
123,560,1,0.6990047693252563
124,564,1,0.839080810546875
125,577,1,0.662416934967041
126,578,1,0.5311142206192017
127,581,1,0.6783866286277771
128,583,0,0.3050730526447296
129,589,0,0.38632258772850037
130,593,1,0.6784454584121704
131,597,1,0.727842390537262
132,610,1,0.7664795517921448
133,617,1,0.786189615726471
134,619,1,0.7990185618400574
135,635,0,0.48821380734443665
136,653,1,0.7289131283760071
137,654,1,0.5875444412231445
138,660,1,0.5197197794914246
139,662,0,0.2619079351425171
140,671,1,0.7733755111694336
141,675,0,0.3460090458393097
142,685,1,0.7968829870223999
143,686,1,0.8155792951583862
144,699,0,0.055152975022792816
145,700,1,0.7930874228477478
146,702,0,0.41844576597213745
147,703,1,0.6785706281661987
148,707,0,0.024860234931111336
149,708,1,0.5856481790542603
150,710,1,0.6082921624183655
151,733,1,0.6467868685722351
152,735,0,0.4412558078765869
153,737,1,0.6961936354637146
154,739,1,0.7759727239608765
155,742,1,0.8175879120826721
156,744,1,0.5945639610290527
157,766,1,0.8262596130371094
158,769,0,0.3978315591812134
159,773,1,0.8295868635177612
160,780,1,0.819687008857727
161,781,0,0.46090319752693176
162,787,0,0.30366069078445435
163,799,1,0.861356794834137
164,803,1,0.8625207543373108
165,808,1,0.8215866088867188
166,818,1,0.7590676546096802
167,820,1,0.7048919200897217
168,826,0,0.34881916642189026
169,828,1,0.7029505968093872
170,836,1,0.7452883720397949
171,837,1,0.6218190789222717
172,838,1,0.8064452409744263
173,845,0,0.35007190704345703
174,846,1,0.5555999279022217
175,850,1,0.7600118517875671
176,851,0,0.35294467210769653
177,873,0,0.3687833249568939
178,876,0,0.20196974277496338
179,877,0,0.01868267171084881
180,879,1,0.7423384785652161
181,881,1,0.868887722492218
182,886,1,0.758564293384552
183,889,1,0.8065814971923828
184,894,1,0.7134806513786316
185,903,0,0.3515809178352356
186,907,1,0.8013973236083984
187,908,1,0.8338596224784851
188,916,1,0.8175621628761292
189,919,1,0.8017743229866028
190,927,1,0.8297569751739502
191,930,1,0.6411833167076111
192,936,1,0.8258823752403259
193,937,1,0.767693281173706
194,940,1,0.827603816986084
195,952,1,0.6539912223815918
196,960,1,0.862594485282898
197,961,0,0.4771067798137665
198,973,0,0.3241751194000244
199,989,1,0.52985680103302
200,999,1,0.8150983452796936
201,1001,1,0.6609717607498169
202,1005,1,0.8469722270965576
203,1006,1,0.7052805423736572
204,1007,0,0.4877299666404724
205,1013,0,0.46360889077186584
206,1014,0,0.13151435554027557
207,1016,1,0.7419079542160034
208,1017,1,0.515401303768158
209,1018,1,0.8317758440971375
210,1024,1,0.557547390460968
211,1031,1,0.7448914051055908
212,1032,1,0.7606273889541626
213,1036,1,0.5172811150550842
214,1038,1,0.7542770504951477
215,1045,1,0.7271636724472046
216,1048,1,0.7012088298797607
217,1049,1,0.6233246922492981
218,1053,0,0.021654943004250526
219,1065,1,0.7125000357627869
220,1068,1,0.697510302066803
221,1070,0,0.058152392506599426
222,1074,1,0.8007494211196899
223,1080,1,0.8781563639640808
224,1083,1,0.5646678805351257
225,1086,1,0.7422323822975159
226,1102,1,0.6684873104095459
227,1119,1,0.5471670627593994
228,1120,1,0.6132060289382935
229,1121,1,0.8879004120826721
230,1128,1,0.5095077157020569
231,1129,1,0.7795811891555786
232,1136,0,0.158440962433815
233,1137,1,0.7966086864471436
234,1146,1,0.6489995718002319
235,1153,1,0.6016074419021606
236,1157,1,0.7714438438415527
237,1158,1,0.7423869371414185
238,1159,1,0.6674611568450928
239,1163,1,0.5770666599273682
240,1166,1,0.671747624874115
241,1169,1,0.806357204914093
242,1172,1,0.7115154266357422
243,1178,1,0.6511426568031311
244,1184,0,0.4463159441947937
245,1186,1,0.5213731527328491
246,1191,0,0.344197154045105
247,1198,0,0.24852760136127472
248,1205,1,0.6726179718971252
249,1207,1,0.5328889489173889
250,1213,1,0.5971657037734985
251,1218,1,0.7230815887451172
252,1234,1,0.7606326937675476
253,1236,1,0.8204680681228638
254,1245,1,0.6721576452255249
255,1247,1,0.8067285418510437
256,1255,1,0.774181067943573
257,1257,1,0.8066115975379944
258,1262,1,0.5176218748092651
259,1275,1,0.5246382355690002
260,1278,1,0.8789287805557251
261,1281,1,0.8559359312057495
262,1282,1,0.5401864051818848
263,1284,1,0.5423085689544678
264,1289,1,0.773305356502533
265,1300,1,0.6446104645729065
266,1302,1,0.876622200012207
267,1304,0,0.4281909167766571
268,1305,0,0.059988003224134445
269,1306,1,0.5061261653900146
270,1313,1,0.8647215962409973
271,1319,1,0.6842305064201355
272,1321,1,0.8772628307342529
273,1330,1,0.8001735210418701
274,1338,1,0.8686712384223938
275,1356,1,0.8957049250602722
276,1363,1,0.8389874696731567
277,1369,1,0.5605913400650024
278,1371,0,0.29714274406433105
279,1373,1,0.7462227940559387
280,1380,1,0.6637181043624878
281,1384,1,0.6558303833007812
282,1388,1,0.7194826006889343
283,1407,1,0.6429709792137146
